
### canary_load_0

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `cpu_int_ops`@1 | 5 | 4.655e+09 | 4.16% | 0.53% | 0.0% | 1 | 3.14% | 5.20 | -6.89% | 20% | 2.23s | 1 |

### canary_load_1

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `cpu_int_ops`@1 | 5 | 1.079e+09 | 68.17% | 22.49% | 0.0% | 2 | 63.00% | 2.05 | +65.89% | 80% | 0.92s | 0 |

### canary_load_10

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `cpu_int_ops`@1 | 5 | 9.433e+07 | 46.41% | 28.64% | 0.0% | 3 | 46.38% | 1.32 | -4.27% | 60% | 0.98s | 0 |

### canary_load_3

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `cpu_int_ops`@1 | 5 | 7.144e+08 | 8.26% | 2.17% | 0.0% | 3 | 6.98% | 2.51 | +11.18% | 20% | 2.15s | 1 |

### interleave_off

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `cpu_int_ops`@1 | 300 | 4.696e+09 | 5.79% | 2.63% | 0.0% | 1 | 5.58% | 1.47 | +5.31% | 14% | 2.21s | 16 |
| `cpu_fp_ops`@1 | 300 | 9.005e+09 | 3.09% | 1.38% | 0.0% | 1 | 2.90% | 1.51 | -3.59% | 84% | 1.95s | 7 |
| `cpu_hash_ops`@1 | 300 | 1.48e+08 | 4.15% | 2.06% | 0.0% | 1 | 4.15% | 1.35 | +0.06% | 29% | 1.60s | 8 |

### interleave_on

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `cpu_int_ops`@1 | 300 | 4.652e+09 | 5.17% | 2.98% | 0.0% | 1 | 5.17% | 1.17 | -0.22% | 20% | 1.83s | 7 |
| `cpu_fp_ops`@1 | 300 | 9.047e+09 | 4.05% | 2.75% | 0.0% | 1 | 4.05% | 1.00 | -0.34% | 63% | 1.62s | 0 |
| `cpu_hash_ops`@1 | 300 | 1.498e+08 | 5.04% | 2.63% | 0.0% | 1 | 5.02% | 1.29 | +1.52% | 0% | 10.18s | 5 |

### knob_pin_off

