machine: Intel(R) Core(TM) Ultra 9 185H  (Ubuntu 22.04.5 LTS)
run 5b739303-343b-4925-a879-75ecee61a254  2026-09-21T16:22:22.736389Z -> 2026-09-21T16:23:01.132821Z
METRIC        THR         WS       MEDIAN         MEAN     CoV% MAD/MED%      N          MIN          MAX   LATE%   ATT    CLK0    CLK1
mem_read_bw     1       8192        213.8        213.8     0.86     0.62     10        210.4        216.4     0.0     1    14.2    14.7
mem_read_bw     1      16384        237.8        236.8     2.81     2.06     10        226.1        245.2     0.0     1    17.0    17.1
mem_read_bw     1      32768        253.7        252.6     1.33     1.26     10        247.4        257.3     0.0     1    16.0    14.1
mem_read_bw     1      65536        190.6        193.4     2.69     1.34     10        187.5        201.2     0.0     1    14.7    14.2
mem_read_bw     1     131072        201.7        200.4     2.52     1.16     10        187.7        205.4     0.0     1    14.3    14.4
mem_read_bw     1     262144        201.8        201.2     0.90     0.50     10        197.5        203.4     0.0     1    14.7    14.6
mem_read_bw     1     524288          201        196.5     5.37     0.61     10        170.6        202.7     0.0     1    14.2    14.4
mem_read_bw     1    1048576        173.4        173.1     3.40     2.06     10        160.2        179.5     0.0     1    14.4    14.1
mem_read_bw     1    2097152        181.8        179.1     5.90     3.89     10        157.4        189.6     0.0     1    14.3    14.3
mem_read_bw     1    4194304        72.69        72.28     2.84     1.17     10        67.31        74.59     0.0     1    14.3    14.1
mem_read_bw     1    8388608        72.21        70.89     8.52     2.04     10        54.23         74.8     0.0     1    14.4    14.2
mem_read_bw     1   16777216        44.95        43.69    16.29     9.87     10        31.53         54.8     0.0     1    14.4    15.3
mem_read_bw     1   33554432        23.93        23.99     2.58     1.09     10        22.62        24.78     0.0     1    15.0    14.2
mem_read_bw     1   67108864        25.97        25.38     5.67     3.04     10        22.49         26.8     0.0     1    15.9    14.3
mem_read_bw     1  268435456        22.92        23.01     1.71     1.14     10        22.57        23.55     0.0     1    14.3    15.3
mem_write_bw    1       8192        237.7          232     6.78     2.34     10        195.7        244.4     0.0     1    15.2    15.3
mem_write_bw    1      16384          273        272.9     1.11     0.86     10        268.1        277.8     0.0     1    15.2    14.3
mem_write_bw    1      32768        290.9        291.1     0.97     0.66     10        287.1        295.7     0.0     1    14.3    14.2
mem_write_bw    1      65536        80.56        79.96     2.25     0.72     10        75.32        81.28     0.0     1    14.4    14.2
mem_write_bw    1     131072           80        79.66     1.80     0.91     10        76.45         81.4     0.0     1    14.1    14.8
mem_write_bw    1     262144        79.84        79.51     2.01     0.68     10        75.79        81.33     0.0     1    14.7    15.1
mem_write_bw    1     524288        80.59        80.47     0.98     0.16     10        78.33        81.18     0.0     1    15.3    14.4
mem_write_bw    1    1048576        75.43        75.29     0.94     0.67     10        74.09        76.08     0.0     1    14.5    14.1
mem_write_bw    1    2097152        78.64        76.32     5.80     1.63     10        68.44        80.11     0.0     1    14.4    15.1
mem_write_bw    1    4194304        50.36        50.25     1.53     1.08     10        48.83        51.04     0.0     1    16.7    14.2
mem_write_bw    1    8388608        50.32        49.76     2.96     0.96     10        46.79        50.95     0.0     1    14.4    14.6
mem_write_bw    1   16777216        39.56        39.29     1.60     0.52     10        37.72         39.8     0.0     1    14.4    14.2
mem_write_bw    1   33554432         20.4        20.33     2.94     1.53     10        18.97        21.04     0.0     1    14.5    14.2
mem_write_bw    1   67108864        15.13        15.15     3.51     1.20     10        13.83         15.7     0.0     1    14.2    14.2
mem_write_bw    1  268435456        14.06        13.97     1.33     0.73     10        13.67        14.16     0.0     1    14.2    14.5
mem_copy_bw     1       8192        296.8        291.3     3.86     1.32     10        266.8        300.9     0.0     1    14.3    14.2
mem_copy_bw     1      16384        302.6          302     3.13     1.96     10        278.8        310.8     0.0     1    14.2    15.0
mem_copy_bw     1      32768        67.61        67.05     2.37     1.25     10        63.98        68.77     0.0     1    16.2    14.1
mem_copy_bw     1      65536        68.89        66.95     7.48     0.42     10        53.13        69.47     0.0     1    14.4    14.6
mem_copy_bw     1     131072        65.34        66.13     4.60     4.04     10        62.32        69.98     0.0     1    14.8    15.4
mem_copy_bw     1     262144           69        67.92     3.79     0.85     10        61.64        69.93     0.0     1    14.8    14.2
mem_copy_bw     1     524288        64.98        64.17     2.86     0.81     10         60.5        65.94     0.0     1    14.3    14.1
mem_copy_bw     1    1048576        36.27        35.92     3.14     1.20     10        33.42        37.07     0.0     1    14.4    14.3
mem_copy_bw     1    2097152        37.71        37.41     2.23     1.05     10        35.79        38.31     0.0     1    14.4    14.5
mem_copy_bw     1    4194304        35.89        35.77     3.66     2.77     10        33.84        37.49     0.0     1    14.4    14.2
mem_copy_bw     1    8388608        36.45        35.75     5.34     1.82     10        31.23        37.23     0.0     1    14.4    15.0
mem_copy_bw     1   16777216        31.66        31.82     4.75     4.15     10        28.78        33.37     0.0     1    15.0    14.4
mem_copy_bw     1   33554432        25.47        25.49     2.78     1.94     10         24.4        26.44     0.0     1    14.6    14.3
mem_copy_bw     1   67108864        22.97        22.73     4.05     1.12     10        20.37        23.43     0.0     1    14.4    14.3
mem_copy_bw     1  268435456        21.42        21.42     2.07     0.88     10        20.39        22.04     0.0     1    14.5    14.3
