k6 --summary-export files, M5.4. 'measured' is the threshold window only
(the 10 s warmup scenario is excluded); 'all reqs' includes it.

| run                                                | measured | all reqs |  p50 ms |  p95 ms |   max ms | dropped | errors | cache hit |
|----------------------------------------------------|----------|----------|---------|---------|----------|---------|--------|-----------|
| (a) headline: 1000/s, 60 s, API native             |    60001 |    62003 |    0.38 |    1.17 |    54.22 |       0 |  0.00% |     95.9% |
| (b) all on the compose network, k6 in a container  |    60002 |    62004 |    0.35 |    1.12 |    21.16 |       0 |  0.00% |     95.0% |
| cache off (REDIS_URL=), 1000/s, 30 s               |    30001 |    32003 |    0.81 |    3.46 |    76.22 |       0 |  0.00% |      0.0% |
| mixed: 1000/s reads + 50/s ingest, 60 s            |    60001 |    65004 |    0.43 |    2.17 |   161.24 |       0 |  0.00% |     80.8% |
| after the mixed run, 412,513 rows, 1000/s          |    30000 |    32002 |    0.38 |    1.30 |   178.04 |       0 |  0.00% |     94.3% |
| 2000/s, preAllocatedVUs 100                        |    59954 |    63956 |    0.38 |    1.10 |    80.11 |      47 |  0.00% |     96.3% |
| 2000/s, preAllocatedVUs 400                        |    60001 |    64003 |    0.38 |    1.13 |    37.16 |       0 |  0.00% |     96.8% |
| 3000/s                                             |    89975 |    95977 |    0.36 |    1.09 |    53.21 |      26 |  0.00% |     98.2% |
| 5000/s                                             |   150001 |   160002 |    0.40 |    1.15 |    67.16 |       0 |  0.00% |     99.5% |
| 8000/s                                             |   239582 |   255585 |    0.51 |    1.49 |    95.48 |     419 |  0.00% |     99.2% |
| 12000/s                                            |   359401 |   383402 |    0.65 |    2.36 |   102.20 |     602 |  0.00% |     99.4% |
| pool 10, cache off, 6000/s                         |   119816 |   131817 |    3.97 |   41.49 |   229.91 |     186 |  0.00% |      0.0% |
| pool 20, cache off, 6000/s                         |   119960 |   131962 |    1.53 |   10.49 |   138.09 |      42 |  0.00% |      0.0% |
| pool 40, cache off, 6000/s                         |   119677 |   131679 |    1.48 |    9.17 |   190.51 |     324 |  0.00% |      0.0% |
| pool 80, cache off, 6000/s                         |   119314 |   131316 |    1.45 |    8.34 |   347.11 |     686 |  0.00% |      0.0% |
